using	Tab for comment
0x10c0	Familiar-possessed
0xc1	Psy-frame
0x10c1	Psy-framegear
0xc2	Power tool
0xc3	Edge imp
0xc4	Zefra
0xc5	Void
0xc6	Performage
0xc7	Dracoslayer
0xc8	Igknight
0xc9	Aroma
0xca	Empowered warrior
0xcb	Aether
0xcc	Prediction princess
0xcd	Aquaactress
0xce	Aquarium
0xcf	Chaos
0x10cf	Black luster soldier
0xd0	Majespecter
0xd1	Graydle
0xd2	Kozmo
0xd3	Kaiju
0xd4	Paleozoic
0xd5	Dante
0xd6	Destruction sword
0xd7	Buster blader
0xd8	Dinomist
0xd9	Shiranui
0x10d9	Shiranui spectralsword
0xda	Dracoverlord
0xdb	Phantom knights
0x10db	The phantom knights
0xdc	Super quant
0x10dc	Super quantum
0x20dc	Super quantal mech beast
0xdd	Blue-eyes
0xde	Exodia
0xdf	Lunalight
0xe0	Amorphage
0xe1	Metalphosis
0xe2	Tramid
0xe3	Cubic
0xe4	Celtic guard
0xe5	Cipher
0x10e5	Cipher dragon
0xe6	Flower cardian
0xe7	Silent swordsman
0xe8	Silent magician
0xe9	Magna warrior
0xea	Crystron
0xeb	Chemicritter
0xec	Abyss
0x10ec	Abyss actor
0x20ec	Abyss script
0xed	Subterror
0x10ed	Subterror behemoth
0xee	Spyral
0x10ee	Spyral gear
0x20ee	Spyral mission
0xef	Darklord
0xf0	Windwitch
0xf1	Zoodiac
0xf2	Pendulum
0x10f2	Pendulum dragon
0x20f2	Pendulumgraph
0xf3	Predap
0x10f3	Predaplant
0xf4	Invoked
0xf5	Gandora
0xf6	Skyscraper
0xf7	Lyrilusc
0x10f8	Supreme king gate
0x20f8	Supreme king dragon
0xf9	True king
0xf9	True draco
0xfa	Phantasm spiral
0xfb	Trickstar
0xfc	Gouki
0xfd	World chalice
0xfe	World legacy
0xff	Clear wing
0x100	Bonding
0x101	Code talker
0x102	Rokket
0x103	Altergeist
0x104	Krawler
0x105	Metaphys
0x106	Vendread
0x107	F.a.
0x108	Magical musket
0x109	The weather
0x10a	Parshath
0x10b	Tindangle
0x10c	Mekk-knight
0x10d	Mythical beast
0x10e	Evolution pill
0x10f	Borrel
0x110	Relinquished
0x1110	Eyes restrict
0x111	Armed dragon
0x112	Knightmare
0x113	Elemental lord
0x114	Fur hire
0x115	Sky striker
0x1115	Sky striker ace
0x116	Crusadia
0x117	Impcantation
0x118	Cynet
0x119	Salamangreat
0x11a	Dinowrestler
0x11b	Orcust
0x11c	Thunder dragon
0x11d	Forbidden
0x11e	Danger!
0x11f	Nephthys
0x120	Prank-kids
0x121	Mayakashi
0x122	Valkyrie
0x123	Rose
0x1123	Rose dragon
0x124	Machine angel
0x125	Smile
0x126	Time thief
0x127	Infinitrack
0x128	Witchcrafter
0x129	Evil eye
0x12a	Endymion
0x12b	Marincess
0x12c	Tenyi
0x12d	Simorgh
0x12e	Fortune fairy
0x12f	Battlewasp
0x130	Unchained
0x1130	Unchained soul
0x131	Dream mirror
0x132	Mathmech
0x133	Dragonmaid
0x134	Generaider
0x135	@ignister
0x136	A.i.
0x137	Ancient warriors
0x138	Megalith
0x139	Palladium oracle
0x13a	Onomat
0x13b	Rebellion
0x13c	Codebreaker
0x13d	Nemeses
0x13e	Barbaros
0x13f	Plunder patroll
0x140	Adamancipator
0x141	Rikka
0x142	Eld
0x1142	Eldlich
0x2142	Eldlixir
0x143	Golden land
0x144	Phantasm
0x145	Dogmatika
0x146	Melffy
0x147	Potan
0x148	Roland
0x149	Fossil
0x14a	Numeron
0x114a	Numeron gate
0x14b	Appliancer
0x14c	Spiritual art
0x314c	Spiritual earth art
0x514c	Spiritual water art
0x614c	Spiritual fire art
0x914c	Spiritual wind art
0xa14c	Spiritual light art
0xc14c	Dark spirit art
0x14d	Tri-brigade
0x14e	Virtual world
0x114e	Virtual world gate
0x14f	Dual avatar
0x150	Magistus
0x151	Twin
0x1151	Live☆twin
0x2151	Evil★twin
0x152	Ki-sikil
0x153	Lil-la
0x154	Drytron
0x155	Springans
0x156	S-force
0x157	Myutant
0x158	サン
0x1158	Sunvine
0x2158	Sunavalon
0x159	Starry knight
0x15a	Doll monster
0x15b	Amazement
0x15c	Attraction
0x15d	Branded
0x15e	Rank-down-magic
0x15f	War rock
0x160	Materiactor
0x161	Ogdoadic
0x162	Solfachord
0x1162	Gransolfachord
0x163	Ursarctic
0x164	Despia
0x165	Magikey
0x166	Gunkan
0x1167	Mystical beast of the forest
0x2167	Mystical spirit of the forest
0x168	Stealth kragen
0x169	Numerounius
0x16a	Number
0x16b	Swordsoul
0x16c	Icejade
0x16d	Floowandereeze
0x16e	Topologic
0x16f	Hyperion
0x170	Beetrooper
0x171	P.u.n.k.
0x172	Exosister
0x173	Dinomorphia
0x174	Lady of lament
0x175	Seventh
0x176	Barian's
0x177	Kairyu-shin
0x178	Sea stealth
0x179	Therion
0x17a	Scareclaw
0x17b	Battleguard
0x17c	Libromancer
0x17d	Vaylantz
0x17e	Labrynth
0x117e	Welcome labrynth
0x17f	Runick
0x180	Spright
0x181	Tearlaments
0x182	Vernusylph
0x183	Mokey mokey
0x184	Wingman
0x185	Doodle
0x1185	Doodle beast
0x2185	Doodlebook
0x186	G golem
0x187	Rainbow bridge
0x188	Bystial
0x189	Kashtira
0x18a	Ghoti
0x18b	Rescue-ace
0x18c	Purrely
0x18d	Mikanko
0x18e	Aquamirror
0x18f	Firewall
0x190	Mannadium
0x191	Nemleria
0x192	Gold pride
0x193	Labyrinth wall
0x194	Favorite
0x195	Vanquish soul
0x196	Nouvelles
0x197	Recipe
0x198	Visas
0x199	Counter
0x19a	Veda
0x19b	Diabell
0x119b	Diabellstar
0x19c	Snake-eye
0x19d	Horus
0x119d	Horus the black flame dragon
0x19e	Sinful spoils
0x19f	Patissciel
0x1a0	Heart
0x1a1	Memento
0x1a2	Centur-ion
0x1a3	Vaalmonica
0x1a4	Tistina
0x1a5	Yubel
0x1a6	Voiceless voice
0x1a7	White aura
0x1a8	Toy
0x1a9	Sangen
0x1aa	Tenpai dragon
0x1ab	Ragnaraika
0x1ac	Salamandra
0x1ad	Ashened
0x1ae	Millennium
0x1af	Exodd
0x1af	Obliterate!!!
0x1b0	Fiendsmith
0x1b1	White forest
0x1b2	Mulcharmy
0x1b3	Emblema
0x1b4	Tachyon
0x1b5	Blue tears
0x1b6	Wedju
0x1b7	Mimighoul
0x1b8	Shark
0x11b8	Shark drake
0x1b9	Primite
0x1ba	Metalmorph
0x1bb	Morganite
0x1bc	Azamina
0x1bd	Schoolwork success
0x1be	Ryzeal
0x1bf	Maliss
0x1c0	Ryu-ge
0x1c1	Argostars
0x1c2	Aqua jet
0x1c3	Mitsurugi
0x1c4	Dragon ruler
0x1c5	Regenesis
0x1c6	Dominus
